id_loja;Nome;Endereço;id_cidade
0;Petz Abelardo Bueno;Av. Embaixador Abelardo Bueno, 3140;5
1;Petz Agamenon;Av. Gov. Agamenon Magalhães, 3855;29
2;Petz Aldeota;Av. Barão de Studart, 999;4
3;Petz Alphaville;Av. Alphaville, 580;99
4;Petz Alto da Boa Vista;Av. Adolfo Pinheiro, 1600;3
5;Petz Americana;Av. Paulista, 985;153
6;Petz Ana Costa;Avenida Ana Costa, 215;49
7;Petz Anália Franco;Av. Regente Feijó, 677;3
8;Petz Angélica;Av. Angélica, 2011;3
9;Petz Anhaia Mello;Av. Prof. Luiz Ignacio Anhaia Mello, 5657 - Junto ao Roldão;3
10;Petz Aracaju;Av. Ministro Geraldo Barreto Sobral, 140;132
11;Petz Araçatuba;Av. Brasília, 2737;186
12;Petz Aricanduva;Av.Rio das Pedras, 2207 - Junto a Telha Norte;3
13;Petz Augusta;Rua Augusta , 215;3
14;Petz Avenida Goiás;Avenida Goiás, 889;11
15;Petz Balneário Camboriú;Av. do Estado, 4888;85
16;Petz Bandeirantes;Av. dos Bandeirantes, 2040;3
17;Petz Bangu Shopping;Rua Fonseca, 240 - Área Ext, próximo a Portaria 2;5
18;Petz Barra Américas;Avenida das Américas, 6571 - Lote 02 Pal 45164;5
19;Petz Bauru;RUA RUBENS PAGANI , 444;19
20;Petz Belém;Av. Nª Sra. de Nazaré, 121;64
21;Petz Bento Gonçalves;R. Fortaleza, 362;126
22;Petz Betim;Av. Juiz Marco Tulio Isaac, 470;104
23;Petz Blumenau;R. São Paulo, 1629;23
24;Petz Boa Viagem;Rua Professor João Medeiros, 139;29
25;Petz Bosque Maia;Av. Paulo Faccini, 1385;33
26;Petz Botafogo;Rua General Polidoro, 113;5
27;Petz Brasília Asa Norte;ST STN, Conjunto D, BLOCO 2/B, S/N - TERMINAL NORTE CONJ D BLOCO2/B;27
28;Petz Brasília Epia;Epia Sul, , Lote 3;27
29;Petz Brasília Jardim Botânico;Av. Das Paineiras - Q. 1 Lote E , S/N - Próximo a Paróquia Santa Clara;27
30;Petz Brasília SIA;SIA trecho 02, Lotes 65/95 , 65/95;27
31;Petz Brasília W3 Norte;Comércio Residencial Norte, 502;27
32;Petz Bueno T63;Av T63, S/N - Quadra 143 lote 4/13;36
33;Petz Butantã;Av. Professor Francisco Morato, 1796 - 1798;3
34;Petz Cambuí;Av. Doutor Moraes Sales, 2326;1
35;Petz Campo Grande;Av. Afonso Pena, 5420;25
36;Petz Campo Grande Rio;Estrada da Cachamorra, 200;5
37;Petz Canoas;Avenida Getúlio Vargas, 6401;7
38;Petz Caraguatatuba;Rua Vereador Antônio Cruz Arouca, 200;163
39;Petz Carapicuíba;Avenida Inocêncio Seráfico, 3375;121
40;Petz Carlos Berta;R. Antônio Carlos Berta, 345;9
41;Petz Carlos Luz;Avenida Presidente Carlos Luz, 710;16
42;Petz Carrefour Anchieta;Av .Marginal Direita Anchieta, 3398;3
43;Petz Carrefour Imigrantes;R. Ribeiro Lacerda, 940 - Estacionamento G3 Carrefour;3
44;Petz Carrefour Manilha;R. Oliveira Botelho, 349 - Dentro do Carrefour Manilha;96
45;Petz Carrefour Ribeirão Shopping;Av Coronel Fernando Ferreira Leite, 1540 - Ribeirão Shopping;17
46;Petz Carrefour São Caetano;Avenida do Estado, 1750 - junto ao Carrefour;11
47;Petz Carrefour Tietê;Av. Morvan Dias de Figueiredo, 3177;3
48;Petz Cascavel;Avenida Brasil, 4254;70
49;Petz Catuai Londrina;Rod. Mabio Gonçalves Palhano, 195 - em frente ao Catuaí Shopping;102
50;Petz Cavalhada;Av. Eduardo Prado, 415;9
51;Petz Caxias do Sul;Av Rubens Bento Alves, 8457;147
52;Petz Center Minas;Av. Pastor Anselmo Silvestre, 1395 , 1495 - Shopping Center Minas;16
53;Petz Center Norte;Shopping Center Norte - Tv. Casalbuono, 120 - Alameda de Serviços;3
54;Petz Center Shopping Uberlândia;Av. João Naves de Ávila, 1331;18
55;Petz Cerro Corá;Rua Cerro Corá, 1950;3
56;Petz Cidade Jardim;Av dos Tajuras, 147 - 161;3
57;Petz Congonhas;Av. Moreira Guimarães, 631 - 657;3
58;Petz Contagem;Av. Babita Camargos, 1295 - Loja 03;53
59;Petz Contagem João Cesar;Av. João César de Oliveira, 5750;53
60;Petz Continente;R. Martinho Boschetti, 2083;134
61;Petz Copacabana;Av. Nossa Senhora de Copacabana, 1246;5
62;Petz Cotia;Rodovia Raposo Tavares KM 21, 5650 - Acesso também pela Rua Damasco;109
63;Petz Diadema;Av. Fábio Eduardo Ramos Esquivel, 1100;34
64;Petz Diário de Notícias;Avenida Diário de Notícias, 1500;9
65;Petz Djalma Batista;Av. Djalma Batista, 3000;13
66;Petz Dom Pedro;Av. Guilherme Campos, 500 - Shopping Parque Dom Pedro;1
67;Petz Edgar Facó;Av. Gen. Edgar Facó, 848;3
68;Petz Enseada;Av. Dom Pedro I, S/N - LOTE 1 E 2;44
69;Petz Extra Barra da Tijuca;Av. das Américas, 1510;5
70;Petz Extra Colinas;Av. Jorge Zarur, 100;120
71;Petz Extra Maracanã;Rua José Higino, 115 - Dentro do Extra Maracanã;5
72;Petz Fernando Corrêa;Avenida Fernando Corrêa da Costa, 1682;38
