;author_id;username;author_followers;author_description;author_location
0;16024047;thiagorosarpg;6163;Editor de RPG na @jamboeditora.Karyu Densetsu, Level Up, Dragão Brasil, A Lenda de Ghanor RPG.Ele/he. Sistema importa.;Brazil
1;59929811;claricecomce;2589;(ela/she)Escritora de fantasia, scifi e terror. Roteirista premiada. Trabalha com joguinhos. Poledancer. Dreams don't fucking die. Contato: cvcfranca@gmail.com;SP
2;1471854107321376772;Nikk013PG;1821;#İncəsənət ▫️Beakman ▪️🏳️;ethereum ╽╻╹╿┃
3;1120418385639157760;bytheuli;28;How did we get so dark?;Campinas, Brasil
4;1406230209280593920;sapabbarbie;16;vivendo ou apenas sofrendo por mulher bonita| insta: @cardozonl;Curitiba - PR
5;91560489;SpiritLucas;537;Spirit, Marketing, Producer, Sharks Don't Sleep. Wyrd bið ful aræd;São Paulo
6;919647023376281600;shaolinpetista;445;.;.
7;3130423372;jamdoshc;149;A fã de Hateen e se eu contar mais tu não acredita… 🍺🤘🏼😋🗺🌍;Fortaleza, Brazil
8;57465042;hugomesmo;393;;Rio de Janeiro
9;913917539238973440;meybarbaresco;140;passando por uma fase ruim desde 1997 // diretora de arte (só tenho o diploma, me dá um emprego aí);
10;42487459;AnnaMariaVET;315;Twitteira nas horas vagas com direito a pitaco em até 280 caracteres. ♈️🔥;São Paulo, SP
11;1441509249083842560;Monique86218281;106;G1 #arts;Blockchain.eth🇦🇶
12;1626001377078960128;sayuri_eth;123;https://t.co/JvGO3BWp5S;Tokyo-to, Japan
13;1520602394249342976;Maryana71313716;0;Jakka;
14;1258812706410450944;GalloDu;308;#DFIR #PeríciasDigital #4n6 | Corinthians | Rock | TV & Cinema | Montanha;São Paulo, Brasil
16;1475148566264004612;biaaa_carol;25;sou chata , nas horas vagas uso o Twitter para reclamar e sou ☭;
17;734938399241580544;BichinhosFB;774166;Relaxe sua mente em um ambiente completamente livre de desgraçamento mental. Vamos lotar sua timeline com bichinhos fofos. 📧 bichinhosfb@gmail.com;Assis Chateaubriand, Paraná
18;1265860904;FranciscoKoch;2206;Pai solteiro de cinco humanos, tutor de animais, empresário, jogador de peteca;Florianópolis, Brasil
19;14679649;oBoticario;214629;Os cheirinhos dos seus melhores anos estão de volta. 🧡💙#GeraçãoMaChérie #MaChérieVoltou♻️ Boti Recicla🐰 Cruelty Free;
20;30589372;vencomigo;711;eu poderia ser um alien.;São Paulo - Brasil
21;51313350;CamilaLeotti;940;Mestranda em Economia - UFF l Bacharel em Economia - UnB | Analista de Economia e Sustentabilidade. Tentando contribuir para o debate econômico justo.;brasil
22;1591855447191048193;mariacr87710080;124;#nfts awesome /#Thehidden131/@Thehidden131;etherium
23;269086996;chaves_monna;412;Jornalista, aquariana, feminista e mãe. Uma coisa explica a outra. (atualmente também comentarista do BBB);Canoas, Brasil
24;53444336;_KarlDaviD;632;Pesquisador da Área de Engenharia de Transportes - UNITOV - Universidade de Roma Tor Vergata;Roma, Lazio
26;108373940;KlaryKatarina;96;;Brasil
27;1204445332710580224;marialuisa_fm;407;hey;Teresina, Brasil
29;51892120;bapaulino_;1891;SP, 26 anos. São-Paulina apaixonada 🇾🇪;São Paulo, Brasil
30;3018732155;piratadescontos;8927;Os melhores descontos e cupons dos 7 mares. Atualizado diariamente.;
31;62548848;marinagimenezzz;342;A sorte veio me encontrar ♡;São Paulo/SP
32;295356864;tric0s;412;br00talismo paulista;São Paulo, Brasil
34;60677817;franchiza;223;🎮 Streamer e criadora de conteúdo! Bailarina, historiadora e a louca dos gatos! | Code: Chiza #ad 💜;Florianópolis
35;88472501;camposfelipe;80;eu só sei falar de cachorro, Kung fu e anime. Se chamar de otaku, não tá errado.;
36;408478004;proconspoficial;66665;Twitter oficial do Procon-SPhttps://t.co/GDE8uithfv https://t.co/uSH4iZs0Uahttps://t.co/vfVzyC9V84;São Paulo
38;1238802615196168195;MivieKat;622;Ele/Dele | 18 | 🇧🇷🏳️‍🌈 | tentando ser artista | Mivie#9248 | pfp: @Taxidermistajob | banner: @Tatsuolovespinkno need to be best, only good and kind;País das Maravilhas
39;1259496672;graozinhodebico;1266;life is short, the world is wide and i just want to make some memories 🌎;
40;1426237499844796424;lucasferroni02;40;arts;blocktchain
52;108471929;mari_zago;147;I feel like I'm out of my mind • 🍀 22.01.17;Poa
53;820003004292235265;vtoir;76;011 | los angeles lakers | software engineer | java, golang (sometimes php);
55;1961611759;shirleyribb;2365;nothing here;há milhas de qualquer lugar 
56;218457861;cobasi;2725;A Cobasi é pioneira em cuidados de animais de estimação. Abastecemos a parte divertida do lar, pois uma casa de verdade tem amor, gente que cuida e muita vida.;São Paulo
57;286827402;_am_joy_;141;GRANDE GOSTOSA EM CONSTRUÇÃO🏗👷🏽‍♀️viciada em skincare, fã de batata frita, séries, hambúrguer e cafuné.;
58;77313256;azaradinha;342;Azar na sorte e sorte no azar;
59;50032719;lovagleek;2056;ggstan, devota a música pop e séries ・ kim taeyeon e cho seungyoun utt ・ glee, mmfd, narnia e pll stan ・ she/her;brazil
60;32645471;Rafael__x;7332;| ♌️ | 🇧🇷| 🏳️‍🌈 | Omo Orisá Odé 🏹.;Osasco
61;1491952672999673859;Phorlan013;218;#arts;#btc
73;1626037768882204672;P2P_eth;97;#opere d'arte rare;#btc 
76;1623784812795375620;rockne_eth;133;#nfts world ◇ART𐂃;Ethereum 𓀡
84;1181046357404065792;dy_dy_dynamite;263;Best belive I'm still bejeweled when I walk in the room I can still make the whole place shimmer;Ela/Dela
86;991696627067998208;meunomenaoevera;80;sou uma pessoa simples com gostos complexosela/dela;
87;1308550071059914752;rafa_ament;4;falando sozinha aqui também;Brasil
88;1534901608345116676;avrilsblud;190;“ultimate horror often paralyses memory in a merciful way.” - h.p. lovecraft;daisy edgar jones
89;1553109803056222209;xiaoweiaox;34;‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ㅤㅤㅤㅤㅤㅤㅤㅤÜber-Ichㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ㅤㅤ         ㅤ#𝗣𝗦𝗬𝗖𝗛𝗢𝗟𝗢𝗚𝗜𝗦𝗧  ゝ 𝑓𝑟. 𝑭𝘳𝘢𝘯𝘤𝘦;n-mono. rpg acc
91;364537477;stefaaane;590;🤔;Minas Gerais, Brazil
107;972899266422300673;mariafonso20161;21;;São Caetano do Sul, São Paulo 
147;57145608;Gabriel2052;4746;Advogado. Do povo dos direitos humanos. Falo umas besteiras aqui e, de vez em quando, algo sério.;
148;1101192599992520705;debrhh;71;;
149;1269095533404094464;Fla89759565;78;;
150;825204690413576192;ProlapsoPelvico;537;Falo de gastronomia, perfume, anime e concurso ou quase issoGM Wukong 26Y;Gama, Brasil
158;138804341;domenica_mendes;4029;Podcaster.  Editora de Áudio. Antifa. Feminista. @opodcastedelas | Gerente de Projetos @centraltres | Falo da vida tb. Ela/Dela ☕🐶 💌 domenicamendes@gmail.com;Brasil
159;46705163;geraldopost;1035;Tudo, menos #fakenews! Blogger em #Geraldopost. Pai do Otis 🐶 | Assessor de imprensa, formador de opinião e trabalhador explorado pelo sistema.;São Paulo, Brasil.
161;1300514480712019970;prefiropaoca1;192;Vou preferir sempre a paçoca.;
162;2458661887;ALNNeto;31;;
163;375925039;thatyoungs;1807;;Manaus, Brasil
164;37715938;NubiaSooares;476;Dizem que algumas vidas se ligam através do tempo.Por uma remota missão que ecoa pela história... Destino.;uai!
165;224214518;Anndreco;124;;
166;170915937;gukiestyles;368;pink and blue forever;260519
167;66033988;androwesen;57;;
168;52078216;thaizize;2468;professora na UFT || em estágio pós-doutoral em política e gestão da educação || performer & poeta || no tuírer não estamos militando, nós só estamos com raiva;Palmas, Brasil
169;790350029353607169;anasfialho;249;um serumano de difícil entendimento;Maranhão, Brasil
170;1489392836499881984;biurygirl;246;Não sabendo que era impossível, foi lá e descobriu.;
176;38679854;samiraleite;812;Tudo o que eu digo parece bobagem.;Teresina, Piauí
177;1237930758230159360;Jucardosolima;265;ariana exausta, favor não se passar;Teresina, Brazil
179;60773349;analaise;832;chata • insuportável;
183;89383329;RitaTiano;182;Médica Veterinária,filha de Oxum e Ogum. Mãe da Luiza, Lolla Maria, Baby Gaia e Naomi Caramela. Palmeiras minha vida é você 💚;São Paulo, Brasil
184;1389894348767105029;wooIari;132;𝑎𝑟𝑤𝑒𝑛 𝑎𝑛𝑑 𝑤𝑎𝑛𝑔𝑗𝑖 𝑚𝑢𝑚 ‹3;Santarém, Brazil
185;709851656125607937;pripmiranda;213;só quero beber uns negocinhos e assistir uns shows;
190;165146448;calabocadanelli;184;Confusa, faladora, adora xingar o Naro;Rio de Janeiro
192;9971502;renataegatitos;708;O seu nome eu escrevi na areia do gato.;Belo Horizonte, Brasil
193;2726894133;paulajunq1;156;;Ribeirão Preto, Brasil
194;799759699000328192;priorsauce;118;Eu não tenho a menor idéia do que eu to fazendo aqui;Uberlândia, Brasil
195;136117378;CarolPisita7;280;Thirty Three 🎂Faço maquiagens, IRPF e mapa astral.🌊;Shangri-la 
196;745137589867282432;flaviamor_in;114;Ajudando a criar conexões entre pessoas, organizações e recursos para o bem viver. #MobilizaçãoDigital #AnalisedeDados #Feminismo #Socioambientalismo;Brasil
197;3096901726;kkfariaa;5185;Reclamona, doutoranda, pitaqueira, gateira, esposa, mãe, costureira, blogueira e  muito mais 🤣;Brasil
