;id;word;count
0;0;Gente,;46
1;1;vocês;1123
2;2;já;2004
3;3;tiveram;29
4;4;problemas;154
5;5;com;6823
6;6;a;13508
7;7;@petlovebr?;18
8;8;A;3351
9;9;gente;415
10;10;está;907
11;11;um;5216
12;12;pedido;2143
13;13;atrasado;53
14;14;aqui,;67
15;15;não;7648
16;16;consegue;85
17;17;falar;249
18;18;nenhum;193
19;19;atendente;150
20;20;e;13417
21;21;nem;1182
22;22;cancelar;281
23;23;o;10726
24;24;pedido.;165
25;25;Alô;243
26;26;@petlovebr,;154
27;27;fiz;575
28;28;hoje;683
29;29;da;6436
30;30;ração;2073
31;31;dos;899
32;32;meus;879
33;33;gatos;599
34;34;paguei;288
35;35;entrega;1960
36;36;mais;3269
37;37;cara;247
38;38;para;4427
39;39;chegar;328
40;40;ainda;934
41;41;hoje,;127
42;42;mas;2303
43;43;até;1633
44;44;agora;1638
45;45;nada;831
46;46;Nenhum;11
47;47;canais;36
48;48;de;16190
49;49;atendimento;769
50;50;me;2277
51;51;transfere;1
52;52;atendente.;7
53;53;Será;128
54;54;que;13424
55;55;tem;2140
56;56;como;1145
57;57;ajudar?;31
58;58;Foi;124
59;59;uma;3959
60;60;compra;1651
61;61;to;278
62;62;esperando;368
63;63;dia;1668
64;64;inteiro;30
65;65;RT;6490
66;66;@rockne_eth:;2
67;67;@mariacr87710080;42
68;68;@cobasi;4929
69;69;🧐🧐;3
70;70;É;1536
71;71;impossível;46
72;72;comprar;2132
73;73;qualquer;132
74;74;item;100
75;75;na;6760
76;76;@petlovebr;2227
77;77;seja;103
78;78;pago;95
79;79;por;2542
80;80;pix;23
81;81;Nem;167
82;82;app,;64
83;83;site;745
84;84;funcionam;4
85;85;pagamento;121
86;86;cartão;205
87;87;🤡;192
88;88;alo;17
89;89;pelo;1128
90;90;visto;40
91;91;era;676
92;92;pra;4689
93;93;ser;1406
94;94;pq;805
95;95;eu;3520
96;96;feita;80
97;97;NÃO;263
98;98;VAI;25
99;99;SER;13
100;100;HOJE;42
101;101;nao;309
102;102;permitiram;2
103;103;Fui;157
104;104;entrar;186
105;105;no;4331
106;106;deu;205
107;107;senha;28
108;108;incorreta.;4
109;109;Até;144
110;110;ai;179
111;111;tudo;1810
112;112;bem.;28
113;113;Redefini;2
114;114;senha.;7
115;115;Senha;3
116;116;novo.;24
117;117;Vou;318
118;118;abrir;70
119;119;chamado:;1
120;120;precisa;830
121;121;logar;8
122;122;usuário;5
123;123;adivinha?;9
124;124;Ai;51
125;125;pedir;178
126;126;ajuda;265
127;127;senha,;3
128;128;dá;397
129;129;emprego;41
130;130;cadê;73
131;131;meu;2661
132;132;ter;952
133;133;chegado;50
134;134;28/03;1
135;135;????;14
136;136;Oi,;60
137;137;pessoal,;13
138;138;bem?;1086
139;139;Posso;20
140;140;dar;331
141;141;sugestão?;1
142;142;Essa;158
143;143;tinta;4
144;144;embalagem;30
145;145;mancha;1
146;146;onde;224
147;147;passa,;2
148;148;minha;1990
149;149;casa;757
150;150;tá;829
151;151;várias;81
152;152;manchas;2
153;153;azuis,;1
154;154;imaginem;2
155;155;roupa;31
156;156;carro;35
157;157;galera;33
158;158;faz;427
159;159;as;1276
160;160;entregas...;2
161;161;acham;23
162;162;mudar?;1
163;163;Valeu,;8
164;164;adoro;21
165;165;vocês.;152
166;166;cuponzinho;13
167;167;primeira;302
168;168;nunca;880
169;169;te;275
170;170;pedi;240
171;171;😭;49
172;172;Hoje;589
173;173;é;4802
174;174;quinta;32
175;175;feira:;1
176;176;do;4468
177;177;sistema;118
178;178;#petlove;25
179;179;#vetus;2
180;180;travar!!!!!;1
181;181;Vivaaaaaa;1
182;182;@lucasferroni02:;4
183;183;@Nikk013PG;14
184;184;🤬🤬🤬;11
185;185;muita;86
186;186;sacanagem;31
187;187;w;2
188;188;fizeram;95
189;189;comigo;117
190;190;em;4860
191;191;questão;72
192;192;contratação.;3
193;193;Fiz;344
194;194;entrevista,;1
195;195;passei;61
196;196;pediram;38
197;197;enviar;78
198;198;os;2608
199;199;documentos,;1
200;200;enviei;25
201;201;todos,;5
202;202;conta;186
203;203;banco;14
204;204;final;56
205;205;BOSTA;1
206;206;nenhuma;132
207;207;Mando;8
208;208;msg;41
209;209;respondem,;5
210;210;se;1853
211;211;são;544
212;212;assim;270
213;213;Entregador;10
214;214;retornou;3
215;215;depois;507
216;216;hora,;29
217;217;pacote;165
218;218;aberto;23
219;219;(????).;2
220;220;Efeito;1
221;221;das;588
222;222;reclamações?;1
223;223;@RappiBrasil;110
224;224;@PetzOficial;22829
225;225;NUNCA;150
226;226;MAIS!;8
227;227;Se;517
228;228;você,;15
229;229;cliente;539
230;230;@RappiBrasil,;2
231;231;precisar;309
232;232;tratar;21
233;233;possível;64
234;234;situação;79
235;235;fraude,;1
236;236;esquece.;1
237;237;tratado;9
238;238;moleque.;1
239;239;@PetzOficial,;716
240;240;histórico;8
241;241;recente;4
242;242;38;2
243;243;pedidos.;16
244;244;Nunca;333
245;245;volto;33
246;246;vocês...;7
247;247;https://t.co/gZQ4EonlWQ;1
248;248;@BichinhosFB;49
249;249;@oBoticario;112
250;250;Mds;5
251;251;fofa;22
252;252;Clotilde;1
253;253;também;412
254;254;quer;251
255;255;https://t.co/zbbJmmjLJq;1
256;256;Save;13
257;257;the;66
258;258;date:;13
259;259;Evento;16
260;260;Adoção;18
261;261;by;26
262;262;@protecaounidasj;14
263;263;Local:;16
264;264;Em;96
265;265;frente;72
266;266;Cobasi;295
267;267;(@cobasi);16
268;268;Continente;16
269;269;Shopping;29
270;270;(@continenteshopping);7
271;271;Quando:;13
272;272;01/04/2023;1
273;273;10:30;6
274;274;às;307
275;275;19:00;10
276;276;https://t.co/K51qn0BTE6;1
277;277;quero;318
278;278;caminha;18
279;279;extra;28
280;280;mesa;5
281;281;desse;168
282;282;querido;6
283;283;AGORA;36
284;284;🥹🥹🥹;2
285;285;adorei;6
286;286;essa;769
287;287;campanha;270
288;288;haha;15
289;289;https://t.co/lFOcOWCYn7;1
290;290;ela;450
291;291;veio;209
292;292;larvas.;3
293;293;só;1814
294;294;saberem;3
295;295;mesmo;745
296;296;https://t.co/gguCQH8J76;1
297;297;Consegui;34
298;298;Petz,;142
299;299;mudaram;33
300;300;loja;1404
301;301;retirada,;24
302;302;consigo;239
303;303;produtos.;49
304;304;🙏;30
305;305;breve;23
306;306;feliz;99
307;307;dessa;304
308;308;história;42
309;309;marco;2
310;310;serviço;429
311;311;pro;601
312;312;cão;50
313;313;vocês!;52
314;314;Zero;7
315;315;profissionalismo!;1
316;316;Profissionais;1
317;317;pessimamente;2
318;318;treinados!;2
319;319;Tentei;30
320;320;agendar;22
321;321;BANHO;3
322;322;sabiam;17
323;323;quais;13
324;324;unidades;29
325;325;colocariam!;1
326;326;Não;1321
327;327;sabem;68
328;328;serviços;65
329;329;ofertados;2
330;330;e,;52
331;331;quando;555
332;332;marcaram,;1
333;333;vieram;32
334;334;cancelar!;4
335;335;Seria;27
336;336;muito;829
337;337;legal;68
338;338;todos;390
339;339;ajudassem;1
340;340;expor;15
341;341;.;432
342;342;Então.;2
343;343;à;310
344;344;deles,;56
345;345;Canoas-Rs,;1
346;346;comprei;685
347;347;algumas;71
348;348;coisas;255
349;349;precisava;59
350;350;dog;126
351;351;doente.;9
352;352;Lá;21
353;353;falaram;100
354;354;app;581
355;355;maravilhoso;16
356;356;SÓ;38
357;357;QUE;901
358;358;atrasada,;8
359;359;sem;1320
360;360;resposta;143
361;361;nos;294
362;362;sac.;3
363;363;Telefone;9
364;364;transportadora;186
365;365;#GFL;1
366;366;funciona.;29
367;367;#QueroMeuPedido;1
368;368;Ídolo;1
369;369;acessível;1
370;370;😂💙💙;1
371;371;compro;826
372;372;App;155
373;373;,;602
374;374;preciso;231
375;375;urgentes,;1
376;376;retirar;297
377;377;loja,;210
378;378;faceira;1
379;379;desconto;391
380;380;etc,;21
381;381;dizia;26
382;382;“retirada;1
383;383;45;44
384;384;min”,;1
385;385;pois;356
386;386;próxima,;7
387;387;5;265
388;388;dias.;85
389;389;Eu;1493
390;390;pressa,;3
391;391;necessidade;14
392;392;vi;160
393;393;isso.;119
394;394;SÉRIO;2
395;395;ÚNICA;3
396;396;LOJA;29
397;397;PERTO;2
398;398;recebi;402
399;399;email;124
400;400;dizendo;149
401;401;foi;1478
402;402;entregue;454
403;403;ele;529
404;404;foi.;27
405;405;Que;567
406;406;serviço,;31
407;407;hein;75
408;408;Me;167
409;409;https://t.co/UacGbJFc9F;1
410;410;@tric0s;1
411;411;Aaaaaaaaaaaaaaaaaaaaaa.;1
412;412;entreguem;13
413;413;nenê;11
414;414;🥺🥺🥺;9
415;415;OLHA;9
416;416;CARINHA;1
417;417;🤏🤏🤏🤏;1
418;418;VOCÊS;29
419;419;NEGARIAM;1
420;420;RAÇÃO;38
421;421;PRA;54
422;422;ESSA;20
423;423;CARINHA??????;1
424;424;https://t.co/uHoToGXlar;1
425;425;Oi;184
426;426;cachorro;484
427;427;“em;7
428;428;trânsito”;5
429;429;desde;296
430;430;20/03;1
431;431;Meu;326
432;432;têm;43
433;433;pedido!;16
434;434;raiva;84
435;435;...;130
436;436;Acho;102
437;437;pessoal;56
438;438;gostou;10
439;439;ver;311
440;440;consumidor;64
441;441;sabe;154
442;442;avaliar;12
443;443;concorrência;34
444;444;kkkkkkkk;23
445;445;https://t.co/vU3lRji2V5;1
446;446;@vtoir;1
447;447;Olá!;45
448;448;Informamos;24
449;449;conduta;36
450;450;fornecedor;42
451;451;caracteriza-se;23
452;452;descumprimento;22
453;453;oferta,;20
454;454;conforme;34
455;455;artigo;22
456;456;35;27
457;457;CDC.;20
458;458;Caso;48
459;459;resida;35
460;460;estado;59
461;461;São;192
462;462;Paulo,;30
463;463;digitalize;34
464;464;documentos;37
465;465;referentes;34
466;466;compra,;151
467;467;acesse;52
468;468;https://t.co/8vrFpgBrNq;27
469;469;faça;104
470;470;reclamação.;59
471;471;@rodrigocordeiro:;7
472;472;Uma;162
473;473;ilustras;3
474;474;novo;208
475;475;livrinho;25
476;476;"""Casa";3
477;477;Amiga;20
478;478;Dos;8
479;479;"Pets""";3
480;480;venda;82
481;481;todas;149
482;482;lojas;354
483;483;Comprando;26
484;484;você…;2
485;485;ontem;412
486;486;retorno;97
487;487;algum;169
488;488;agr;38
489;489;nd;3
490;490;😡😡;9
491;491;@Nikk013PG:;49
492;492;favor;180
493;493;contato;566
494;494;vim;31
495;495;cobrando;73
496;496;vou;1305
497;497;processar;38
498;498;Srs;11
499;499;vcs;800
500;500;vão;418
501;501;resolver;261
502;502;entra;44
503;503;falta;202
504;504;consideração;23
505;505;seus;825
506;506;clientes;157
507;507;pés…;10
508;508;gmail;10
509;509;mandou;83
510;510;índico;9
511;511;ninguém;283
512;512;fatura;30
513;513;resolve;73
514;514;1;504
515;515;pr…;83
516;516;@orbeanthus;10
517;517;adianta;75
518;518;chega;183
519;519;mercadoria;29
520;520;vem;147
521;521;4;316
522;522;vezes;273
523;523;r…;9
524;524;@mariacr87710080:;16
525;525;srs.;9
526;526;vamos;176
527;527;srs;10
528;528;isso;856
529;529;vergonha;98
530;530;estão;580
531;531;reclamando;46
532;532;estorno;126
533;533;feito…;8
534;534;if;12
535;535;lko;9
536;536;gang;18
537;537;of;41
538;538;pickaxe;9
539;539;put;9
540;540;processor;9
541;541;brother;11
542;542;thief😡😡😡;9
543;543;@Phorlan013:;8
544;544;🤬🤬😈😈😈;9
545;545;😡;55
546;546;E;1369
547;547;incrível;40
548;548;responde;89
549;549;Gmail;8
550;550;whatsapp;44
551;551;fui;418
552;552;ninguém…;7
553;553;@Monique86218281:;8
554;554;process;9
555;555;this;15
556;556;garbage;9
557;557;https://t.co/ymToPp8yL6;1
558;558;Já;723
559;559;passou;96
560;560;hora;325
561;561;usaram;4
562;562;gaiolas;5
563;563;mínimo;88
564;564;10x;2
565;565;maiores;111
566;566;pros;150
567;567;pássaros.;2
568;568;tenho;873
569;569;pavor;2
570;570;passar;165
571;571;eles;975
572;572;naquele;12
573;573;lugar;283
574;574;minúsculo;4
575;575;Agora;350
576;576;estamos;69
577;577;tentando;191
578;578;ligar;122
579;579;ou;712
580;580;humano,;2
581;581;sucesso.;9
582;582;canal;69
583;583;contato,;18
584;584;nada.;264
585;585;aí,;58
586;586;@proconspoficial;106
587;587;direto?;1
588;588;Olha;83
589;589;só,;7
590;590;quase;236
591;591;mês;623
592;592;adiantamos;1
593;593;assinatura;486
594;594;fazemos;6
595;595;@cobasi.;50
596;596;Eles;137
597;597;entregaram;192
598;598;ainda,;15
599;599;status;54
600;600;atualiza.;1
601;601;No;248
602;602;primeiro;73
603;603;fizemos,;2
604;604;semana;254
605;605;passada,;23
606;606;problema;449
607;607;iriam;16
608;608;Nada;38
609;609;agora.;62
610;610;manda;88
611;611;mimos;115
612;612;Lua!!;1
613;613;@mayrabhe;1
614;614;Oi.;3
615;615;envia;17
616;616;print;26
617;617;itens;83
618;618;seu;1024
619;619;CEP;13
620;620;lá;942
621;621;Instagram;31
622;622;@Cobasi?;2
623;623;repassar;5
624;624;ao;715
625;625;time;21
626;626;responsável;32
627;627;verifiquem;6
628;628;falha;23
629;629;pontual;3
630;630;estoque;99
631;631;região.;5
632;632;Mimo;1
633;633;Zoe;3
634;634;recebido;35
635;635;♥️;29
636;636;obrigada;150
637;637;mimo;42
638;638;vai;850
639;639;amar;25
640;640;https://t.co/Z8miGHovmG;1
641;641;@stefaaane;2
642;642;Amo;15
643;643;cobasi;112
644;644;respondeu;146
645;645;Stefane;1
646;646;tirou;15
647;647;nas;256
648;648;menções;2
649;649;Oh;15
650;650;social;35
651;651;media,;2
652;652;atitude;31
653;653;sua;438
654;654;piorou;4
655;655;conceito;7
656;656;👏🏼👏🏼👏🏼👏🏼;3
657;657;amo;128
658;658;https://t.co/Ni7kqSNoeX;1
659;659;@giyourself;1
660;660;@JovemRodrigoo;1
661;661;TAPETINHO;1
662;662;🗣️🗣️🗣️🗣️;1
663;663;@avrilsblud;1
664;664;Pede;9
665;665;mandar;151
666;666;comprovante;14
667;667;:);121
668;668;Como;252
669;669;assinatura,;55
670;670;você;1052
671;671;pode;696
672;672;provar;7
673;673;exigir;7
674;674;reembolso;48
675;675;Siiimmm!;1
676;676;amei!;3
677;677;e-mail;353
678;678;escrito;20
679;679;“Baunilha,;1
680;680;temos;91
681;681;ofertas…”;1
682;682;bichinha;6
683;683;ficando;29
684;684;conhecida?;1
685;685;🥹;19
686;686;vsf;4
687;687;90;15
688;688;reais;214
